name,total,failed,success,failed_pct,success_pct,busy_time,captured_at
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,176,0,176,0.00%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,71,0,71,0.00%,,,
segotn13403-1.got.volvo.net-PROE:1,148,0,148,0.00%,,,
segotn13403-2.got.volvo.net-PROE:1,79,0,79,0.00%,,,
segotn13403-3.got.volvo.net-PROE:1,65,0,65,0.00%,,,
segotn13404-1.got.volvo.net-PROE:1,85,0,85,0.00%,,,
segotn13404-2.got.volvo.net-PROE:1,66,0,66,0.00%,,,
segotn13404-3.got.volvo.net-PROE:1,59,0,59,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,279,233,46,83.51%,,,
segotn18415-1-PROE:1,43,3,40,6.98%,,,
segotn18415-2-PROE:1,6,0,6,0.00%,,,
segotn18415-3-PROE:1,19,1,18,5.26%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,7,0,7,0.00%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,456,3,453,0.66%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,298,0,298,0.00%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,260,0,260,0.00%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,143,0,143,0.00%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,174,0,174,0.00%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,28,0,28,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,118,0,118,0.00%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,78,0,78,0.00%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,6,0,6,0.00%,,,
